Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
Apartamentos,800m²,3000000,5 ou mais,5 ou mais,5 ou mais,Ilhotas
Apartamentos,49m²,150000,2,1,1,Uruguai
Apartamentos,69m²,450000,3,2,2,Noivos
Apartamentos,50m²,450000,3,2,1,Ininga
Casas,209m²,1600000,4,1,2,Uruguai
Casas,182m²,980000,4,5 ou mais,3,Horto
Casas,122m²,598535,4,4,3,Morros
Apartamentos,66m²,190000,2,2,1,Colorado
Apartamentos,86m²,562000,3,3,2,Jóquei
Casas,134m²,660000,3,3,2,Piçarreira
Apartamentos,56m²,221921,2,1,2,Uruguai
Apartamentos,96m²,290000,3,2,1,Noivos
Apartamentos,60m²,300000,2,2,1,Santa Isabel
Apartamentos,96m²,330000,3,3,2,São Pedro
Apartamentos,77m²,459100,3,2,2,São Cristóvão
Apartamentos,50m²,170000,1,1,1,Cabral
Apartamentos,62m²,205000,3,2,1,Novo Horizonte
Apartamentos,66m²,360000,3,2,2,Cristo Rei
Apartamentos,62m²,270000,3,2,2,Recanto das Palmeiras
Casas,240m²,780000,4,5 ou mais,4,Santa Isabel
Casas,276m²,720000,4,4,2,Morada do Sol
Apartamentos,70m²,390000,1,1,2,Ininga
Apartamentos,68m²,185000,3,2,1,Uruguai
Apartamentos,80m²,220000,3,2,1,Cidade Nova
Casas,158m²,680000,4,5 ou mais,2,Socopo
Casas,98m²,444900,3,3,2,Morros
Apartamentos,77m²,415000,3,2,1,Ininga
Apartamentos,73m²,400000,3,2,2,Recanto das Palmeiras
Apartamentos,64m²,300000,3,2,2,São João
Casas,220m²,485000,3,3,2,Parque São João
Casas,88m²,420000,3,4,2,Morros
Casas,77m²,352800,3,3,2,Novo Uruguai
Casas,600m²,1000000,4,4,5 ou mais,Planalto
Casas,550m²,1400000,5 ou mais,5 ou mais,5 ou mais,Campestre
Apartamentos,77m²,325000,3,3,1,Campestre
Casas,216m²,1100000,4,5 ou mais,2,Gurupi
Apartamentos,206m²,1760000,4,4,3,Jóquei
Casas,280m²,1400000,4,4,5 ou mais,Ininga
Casas,175m²,890000,4,5 ou mais,4,Gurupi
Apartamentos,69m²,210000,3,2,1,Cristo Rei
Apartamentos,81m²,240000,3,2,1,Porenquanto
Apartamentos,161m²,800000,3,2,2,Jóquei
Casas,180m²,730000,4,4,4,Morros
Casas,110m²,400000,3,3,2,Piçarreira
Casas,150m²,650000,3,2,2,Morros
Apartamentos,59m²,160000,2,2,1,Uruguai
Casas,100m²,650000,4,1,4,Marquês
Apartamentos,75m²,328000,3,2,1,Jóquei
Apartamentos,77m²,270000,3,3,1,Campestre
Apartamentos,41m²,190000,2,1,1,Morada do Sol
Casas,90m²,400000,3,3,2,Gurupi
Casas,89m²,438000,3,2,2,Gurupi
Apartamentos,49m²,160000,2,2,1,Angelim
Apartamentos,46m²,180000,2,1,0,Novo Horizonte
Apartamentos,130m²,1025172,3,1,3,Fátima
Casas,228m²,1600000,4,4,2,Uruguai
